link	university	language	plataform	title
http://ocw.uci.edu/lectures/lecture.aspx?id=499	University of California, Irvine	English	MOODLE	Chem 51A 11/13/09 Ch. 6. Energy Diagrams, Transition States, and Reaction Rates
http://ocw.uci.edu/lectures/lecture.aspx?id=494	University of California, Irvine	English	MOODLE	Chem 51A 10/28/09 Ch. 5. Introduction to Stereochemistry
http://ocw.uci.edu/lectures/lecture.aspx?id=495	University of California, Irvine	English	MOODLE	Chem 51A 10/30/09 Ch. 5. Assigning Tetrahedral Stereogenic Centers
http://ocw.uci.edu/lectures/lecture.aspx?id=496	University of California, Irvine	English	MOODLE	Chem 51A 11/04/09 Ch. 5. Meso Compounds
http://ocw.uci.edu/lectures/lecture.aspx?id=491	University of California, Irvine	English	MOODLE	Chem 51A 10/19/09 Ch. 4. Introduction to Alkanes
http://ocw.uci.edu/lectures/lecture.aspx?id=493	University of California, Irvine	English	MOODLE	Chem 51A 10/26/09 Ch. 4. Conformations of Cyclohexane
http://openlearn.open.ac.uk/course/view.php?name=MU120_3	The Open University	English	Moodle	Exploring distance time graphs
http://openlearn.open.ac.uk/course/view.php?name=MU120_2	The Open University	English	Moodle	Prices
http://openlearn.open.ac.uk/course/view.php?name=MU120_1	The Open University	English	Moodle	Maths everywhere
http://ocwus.us.es/ecologia/pp	Universidad de Sevilla	Spanish	eduCommons	Ecología del Fuego en el Ámbito Mediterráneo
http://ocw.uci.edu/lectures/lecture.aspx?id=708	University of California, Irvine	English	MOODLE	Chem 203, Lecture 8. Monday, October 10. Introduction to NMR Spectroscopy: Concepts and Theory, Part 2
http://ocw.uci.edu/lectures/lecture.aspx?id=709	University of California, Irvine	English	MOODLE	Chem 203, Lecture 9. Wednesday, October 12. Chemical Shift. 1H NMR Chemical Shifts
http://ocw.uci.edu/lectures/lecture.aspx?id=704	University of California, Irvine	English	MOODLE	Chem 203, Lecture 4. Friday, September 30. Mass Spectrometry: Theory, Instrumentation, and Techniques
http://ocw.uci.edu/lectures/lecture.aspx?id=705	University of California, Irvine	English	MOODLE	Isotopic Masses, Isotopic Abundances, and High-Resolution Mass Spectrometry
http://ocw.uci.edu/lectures/lecture.aspx?id=706	University of California, Irvine	English	MOODLE	Chem 203, Lecture 6. Wednesday, October 5. Fragmentation in EIMS: Alkanes, Alkenes, Heteroatom Compounds, Carbonyl Compounds
http://ocw.uci.edu/lectures/lecture.aspx?id=707	University of California, Irvine	English	MOODLE	Chem 203, Lecture 7. Friday, October 7. Introduction to NMR Spectroscopy: Concepts and Theory, Part 1
http://ocw.uci.edu/lectures/lecture.aspx?id=700	University of California, Irvine	English	MOODLE	Chem 203, Discussion 1. Monday, September 26. Molecular Modeling with PyMOL: Using Molecular Mechanics to Generate Three-Dimensional Molecular Structures
http://ocw.uci.edu/lectures/lecture.aspx?id=701	University of California, Irvine	English	MOODLE	Chem 203, Lecture 1. Friday, September 23. Infrared Spectroscopy: Introduction, Theory, Instrumentation, and Sample Preparation
http://ocw.uci.edu/lectures/lecture.aspx?id=702	University of California, Irvine	English	MOODLE	Chem 203, Lecture 2. Monday, September 26. Infrared Spectroscopy: C,H,O-Containing Functional Groups
http://ocw.uci.edu/lectures/lecture.aspx?id=703	University of California, Irvine	English	MOODLE	Chem 203 Organic Spectroscopy Lecture 3
http://ocw.uci.edu/lectures/lecture.aspx?id=717	University of California, Irvine	English	MOODLE	Chem 203, Lecture 17. Monday, October 31. Introduction to 2D NMR Spectroscopy
http://ocw.uci.edu/courses/course.aspx?id=1	University of California, Irvine	English	MOODLE	Criminology, Law and Society C238: White-Collar and Corporate Crime
http://openlearn.open.ac.uk/course/view.php?name=MU120_4M6	The Open University	English	Moodle	Language, notation and formulas
http://openlearn.open.ac.uk/course/view.php?name=MU120_4M7	The Open University	English	Moodle	Geometry
http://openlearn.open.ac.uk/course/view.php?name=MU120_4M4	The Open University	English	Moodle	Squares, roots and powers
http://openlearn.open.ac.uk/course/view.php?name=MU120_4M5	The Open University	English	Moodle	Diagrams, charts and graphs
http://openlearn.open.ac.uk/course/view.php?name=MU120_4M2	The Open University	English	Moodle	Rounding and estimation
http://openlearn.open.ac.uk/course/view.php?name=MU120_4M3	The Open University	English	Moodle	Ratio, proportion and percentages
http://ocw.uci.edu/lectures/lecture.aspx?id=726	University of California, Irvine	English	MOODLE	Chem 203, Lecture 24. Monday, November 21. Using Organic Spectroscopy to Solve Complex Structures
http://ocw.uci.edu/lectures/lecture.aspx?id=727	University of California, Irvine	English	MOODLE	Chem 203, Lecture 25. Wednesday, November 23. INADEQUATE. Some Thoughts on Homework Set 9
http://ocw.uci.edu/lectures/lecture.aspx?id=724	University of California, Irvine	English	MOODLE	Chem 203, Lecture 22. Wednesday, November 16. Aspects of COSY, HMQC, HMBC, and Related Experiments
http://ocw.uci.edu/lectures/lecture.aspx?id=725	University of California, Irvine	English	MOODLE	Chem 203, Lecture 23. Friday, November 18. Using TOCSY to Elucidate Spin Systems. ROESY
http://ocw.uci.edu/lectures/lecture.aspx?id=722	University of California, Irvine	English	MOODLE	Chem 203, Lecture 21. Monday, November 14. Using HMBC to Help Solve Structures: Putting the Pieces Together
http://ocw.uci.edu/lectures/lecture.aspx?id=720	University of California, Irvine	English	MOODLE	Chem 203, Lecture 19. Monday, November 7. The Nuclear Overhauser Effect in Stereochemistry and Structure Determination
http://ocw.uci.edu/lectures/lecture.aspx?id=728	University of California, Irvine	English	MOODLE	Chem 203, Lecture 26. Monday, November 28. Using Organic Spectroscopy to Solve Complex Structures, Part 2
http://ocw.uci.edu/lectures/lecture.aspx?id=729	University of California, Irvine	English	MOODLE	Chem 203, Lecture 27. Wednesday, November 30. Using HMQC-TOCSY or HSQC-TOCSY to Deal with Overlap
http://ocw.uc3m.es/informatica/estructura-de-computadores	Universidad Carlos III de Madrid	Spanish	eduCommons	Estructura de Computadores
http://ocw.uci.edu/lectures/lecture.aspx?id=490	University of California, Irvine	English	MOODLE	Chem 51A 10/16/09 Ch. 3. Carbonyl Compounds, Intermolecular Forces
http://ocw.uci.edu/lectures/lecture.aspx?id=492	University of California, Irvine	English	MOODLE	Chem 51A 10/21/09 Ch. 4. Nomenclature of Alkanes, Conformations of Ethane
